material,E_Pa,rho_kg_m3,b_m,h_m,A_m2,I_m4,L_m,boundary_condition,mode,lambda_n,frequency_hz
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,3,9.42477796076938,247.56866387078338
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,4,12.566370614359172,440.1220691036149
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,1,4.73004074,62.3567081796699
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,2,7.85320462,171.88866744737743
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,3,10.99560784,336.9705156448239
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,4,14.13716839,557.0296078834758
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),1,1.87510407,2.449876430912465
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),2,4.69409113,15.353113478337209
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),3,7.85475744,42.989162379080476
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),4,10.99554073,84.24160059050631
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,1,3.141592653589793,6.8769073297439824
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,2,6.283185307179586,27.50762931897593
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,3,9.42477796076938,61.892165967695846
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,4,12.566370614359172,110.03051727590372
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,1,4.73004074,15.589177044917475
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,2,7.85320462,42.97216686184436
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,3,10.99560784,84.24262891120597
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,4,14.13716839,139.25740197086895
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),1,1.87510407,18.225963051629563
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),2,4.69409113,114.22016043455214
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),3,7.85475744,319.81975713354655
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),4,10.99554073,626.7190787254702
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,1,3.141592653589793,51.16105339840004
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,2,6.283185307179586,204.64421359360017
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,3,9.42477796076938,460.44948058560044
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,4,12.566370614359172,818.5768543744007
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,1,4.73004074,115.9763656814941
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,2,7.85320462,319.6933182383924
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,3,10.99560784,626.7267289623721
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,4,14.13716839,1036.0115436686165
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),1,1.87510407,6.561346698586643
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),2,4.69409113,41.11925775643878
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),3,7.85475744,115.13511256807675
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),4,10.99554073,225.61886834116928
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,1,3.141592653589793,18.417979223424016
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,2,6.283185307179586,73.67191689369606
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,3,9.42477796076938,165.76181301081616
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,4,12.566370614359172,294.68766757478426
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,1,4.73004074,41.75149164533787
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,2,7.85320462,115.08959456582126
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,3,10.99560784,225.621622426454
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,4,14.13716839,372.9641557207019
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),1,1.87510407,1.6403366746466608
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),2,4.69409113,10.279814439109694
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),3,7.85475744,28.783778142019187
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),4,10.99554073,56.40471708529232
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,1,3.141592653589793,4.604494805856004
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,2,6.283185307179586,18.417979223424016
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,3,9.42477796076938,41.44045325270404
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,4,12.566370614359172,73.67191689369606
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,1,4.73004074,10.437872911334468
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,2,7.85320462,28.772398641455315
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,3,10.99560784,56.4054056066135
Titanium,116000000000.0,4500,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,4,14.13716839,93.24103893017548
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),1,1.87510407,36.451926103259126
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),2,4.69409113,228.44032086910428
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),3,7.85475744,639.6395142670931
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),4,10.99554073,1253.4381574509405
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,1,3.141592653589793,102.32210679680009
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,2,6.283185307179586,409.28842718720034
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,3,9.42477796076938,920.8989611712009
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,4,12.566370614359172,1637.1537087488014
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,1,4.73004074,231.9527313629882
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,2,7.85320462,639.3866364767848
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,3,10.99560784,1253.4534579247443
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,4,14.13716839,2072.023087337233
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),1,1.87510407,13.122693397173286
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),2,4.69409113,82.23851551287756
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),3,7.85475744,230.2702251361535
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),4,10.99554073,451.23773668233855
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,1,3.141592653589793,36.83595844684803
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,2,6.283185307179586,147.34383378739213
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,3,9.42477796076938,331.5236260216323
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,4,12.566370614359172,589.3753351495685
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,1,4.73004074,83.50298329067574
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,2,7.85320462,230.17918913164252
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,3,10.99560784,451.243244852908
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,4,14.13716839,745.9283114414038
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),1,1.87510407,3.2806733492933216
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),2,4.69409113,20.55962887821939
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),3,7.85475744,57.567556284038375
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),4,10.99554073,112.80943417058464
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,1,3.141592653589793,9.208989611712008
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,2,6.283185307179586,36.83595844684803
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,3,9.42477796076938,82.88090650540808
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,4,12.566370614359172,147.34383378739213
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,1,4.73004074,20.875745822668936
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,2,7.85320462,57.54479728291063
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,3,10.99560784,112.810811213227
Titanium,116000000000.0,4500,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,4,14.13716839,186.48207786035096
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),1,1.87510407,27.338944577444344
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),2,4.69409113,171.33024065182823
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),3,7.85475744,479.7296357003198
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),4,10.99554073,940.0786180882053
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,1,3.141592653589793,76.74158009760006
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,2,6.283185307179586,306.96632039040026
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,3,9.42477796076938,690.6742208784007
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,4,12.566370614359172,1227.865281561601
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,1,4.73004074,173.96454852224116
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,2,7.85320462,479.53997735758855
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,3,10.99560784,940.0900934435583
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,4,14.13716839,1554.0173155029245
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),1,1.87510407,9.842020047879965
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),2,4.69409113,61.67888663465817
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),3,7.85475744,172.70266885211512
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),4,10.99554073,338.4283025117539
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,1,3.141592653589793,27.626968835136026
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,2,6.283185307179586,110.5078753405441
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,3,9.42477796076938,248.64271951622422
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,4,12.566370614359172,442.0315013621764
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,1,4.73004074,62.62723746800681
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,2,7.85320462,172.6343918487319
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,3,10.99560784,338.432433639681
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,4,14.13716839,559.4462335810529
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),1,1.87510407,2.460505011969991
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),2,4.69409113,15.419721658664542
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),3,7.85475744,43.17566721302878
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),4,10.99554073,84.60707562793847
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,1,3.141592653589793,6.9067422087840065
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,2,6.283185307179586,27.626968835136026
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,3,9.42477796076938,62.160679879056055
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,4,12.566370614359172,110.5078753405441
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,1,4.73004074,15.656809367001703
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,2,7.85320462,43.158597962182974
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,3,10.99560784,84.60810840992025
Titanium,116000000000.0,4500,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,4,14.13716839,139.86155839526322
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),1,1.87510407,14.65521258535692
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),2,4.69409113,91.84264929980047
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),3,7.85475744,257.16207788374084
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),4,10.99554073,503.9350350926785
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,1,3.141592653589793,41.137804982947834
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,2,6.283185307179586,164.55121993179134
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,3,9.42477796076938,370.2402448465305
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,4,12.566370614359172,658.2048797271653
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,1,4.73004074,93.25478654404625
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,2,7.85320462,257.0604103404515
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,3,10.99560784,503.9411865288363
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,4,14.13716839,833.0407216528328
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),1,1.87510407,5.275876530728492
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),2,4.69409113,33.063353747928176
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),3,7.85475744,92.57834803814671
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),4,10.99554073,181.41661263336425
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,1,3.141592653589793,14.80960979386122
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,2,6.283185307179586,59.23843917544488
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,3,9.42477796076938,133.286488144751
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,4,12.566370614359172,236.95375670177953
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,1,4.73004074,33.571723155856645
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,2,7.85320462,92.54174772256253
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,3,10.99560784,181.41882715038108
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,4,14.13716839,299.89465979501983
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),1,1.87510407,1.318969132682123
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),2,4.69409113,8.265838436982044
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),3,7.85475744,23.14458700953668
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),4,10.99554073,45.35415315834106
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,1,3.141592653589793,3.702402448465305
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,2,6.283185307179586,14.80960979386122
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,3,9.42477796076938,33.32162203618775
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,4,12.566370614359172,59.23843917544488
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,1,4.73004074,8.392930788964161
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,2,7.85320462,23.135436930640633
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,3,10.99560784,45.35470678759527
Wood (spruce),10000000000.0,600,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,4,14.13716839,74.97366494875496
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),1,1.87510407,29.31042517071384
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),2,4.69409113,183.68529859960094
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),3,7.85475744,514.3241557674817
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),4,10.99554073,1007.870070185357
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,1,3.141592653589793,82.27560996589567
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,2,6.283185307179586,329.1024398635827
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,3,9.42477796076938,740.480489693061
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,4,12.566370614359172,1316.4097594543307
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,1,4.73004074,186.5095730880925
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,2,7.85320462,514.120820680903
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,3,10.99560784,1007.8823730576726
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,4,14.13716839,1666.0814433056655
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),1,1.87510407,10.551753061456983
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),2,4.69409113,66.12670749585635
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),3,7.85475744,185.15669607629343
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),4,10.99554073,362.8332252667285
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,1,3.141592653589793,29.61921958772244
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,2,6.283185307179586,118.47687835088976
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,3,9.42477796076938,266.572976289502
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,4,12.566370614359172,473.90751340355905
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,1,4.73004074,67.14344631171329
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,2,7.85320462,185.08349544512507
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,3,10.99560784,362.83765430076215
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,4,14.13716839,599.7893195900397
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),1,1.87510407,2.637938265364246
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),2,4.69409113,16.531676873964088
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),3,7.85475744,46.28917401907336
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),4,10.99554073,90.70830631668213
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,1,3.141592653589793,7.40480489693061
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,2,6.283185307179586,29.61921958772244
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,3,9.42477796076938,66.6432440723755
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,4,12.566370614359172,118.47687835088976
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,1,4.73004074,16.785861577928323
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,2,7.85320462,46.27087386128127
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,3,10.99560784,90.70941357519054
